# 【存疑】本序列由成长期 rollout 改进搜索产生，在本模型语义下逐步可行，
# 但同一管线在 t=173/331/496/502 会顶破官方样例蕴含的上界，故整体存疑。
# 表中【未】采用这里的数值，只采用官方样例本身蕴含的下界。详见 doc/findings.md。
# 每行 k p q = 本步 (基地造工人数, 建补给站数, 建基地数); 时间单位 10 秒
T=333 minerals=10691666374
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 1 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 1
0 0 0
1 0 0
0 0 0
1 0 0
0 0 1
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 1
2 0 0
0 0 0
2 0 0
0 0 1
2 0 0
1 0 0
2 0 0
1 0 0
2 0 1
1 0 0
2 0 0
2 0 0
2 0 1
2 0 0
2 0 1
3 0 0
2 0 0
3 0 1
2 0 0
3 0 1
3 0 0
3 0 1
3 0 0
3 0 1
4 0 1
3 0 0
5 0 1
3 0 1
5 0 1
3 0 1
6 0 0
4 0 1
6 0 1
5 0 1
6 0 1
6 0 2
7 0 1
6 0 1
8 0 1
7 0 2
9 0 1
8 0 2
9 0 1
9 0 2
10 0 2
10 0 2
11 0 2
12 0 2
12 0 2
13 0 2
13 0 3
15 0 2
14 0 3
17 0 3
15 0 3
19 0 3
17 0 3
21 0 4
19 1 3
23 0 4
21 0 4
25 0 5
24 0 4
27 0 5
27 0 5
30 0 5
30 1 6
33 0 6
33 0 6
37 0 7
36 0 7
41 0 7
40 0 8
46 0 8
44 1 8
51 0 9
49 0 10
56 0 9
55 0 11
62 0 10
61 0 12
69 0 12
68 0 14
76 0 13
76 1 14
84 0 15
84 0 16
93 1 16
94 0 18
102 0 18
105 0 19
112 0 21
117 0 21
124 1 23
131 0 24
137 0 25
145 1 26
152 1 28
161 1 29
168 0 31
179 0 32
186 1 34
198 0 36
207 0 38
219 2 40
230 0 42
243 0 44
255 1 47
269 1 49
283 1 52
298 1 54
314 1 57
330 0 61
348 1 63
366 1 67
386 1 71
406 2 74
428 0 78
450 1 82
475 2 87
499 1 91
527 1 96
553 2 101
584 1 107
614 1 112
647 2 117
681 4 125
718 2 131
755 0 138
796 2 145
837 3 153
883 3 161
928 1 169
979 4 179
1029 3 188
1086 2 198
1141 4 208
1203 2 220
1266 4 231
1334 3 243
1404 3 257
1479 6 269
1557 3 285
1640 4 299
1726 4 315
1819 6 332
1914 4 350
2017 7 367
2122 5 388
2237 5 408
2353 7 430
2480 8 452
2610 5 477
2749 8 501
2895 7 529
3048 8 556
3210 9 586
3380 9 617
3560 9 649
3747 10 685
3948 11 720
4155 10 759
4378 14 798
4607 10 841
4855 13 886
5108 14 933
5384 14 982
5664 18 1034
5970 14 1089
6281 16 1147
6619 17 1208
6966 19 1272
7339 20 1337
7725 21 1412
8136 21 1485
8567 23 1563
9022 24 1646
9500 25 1735
10004 27 1826
10534 27 1923
11093 30 2024
11681 33 2132
12301 32 2245
12953 35 2364
13638 35 2490
14365 39 2621
15123 39 2761
15928 41 2907
16769 45 3061
17663 48 3223
18595 51 3394
19586 50 3574
20619 55 3764
21718 57 3963
22864 61 4174
24082 64 4395
25354 67 4628
26703 71 4873
28115 75 5132
29610 79 5403
31176 83 5691
32833 87 5991
34570 93 6311
36407 96 6644
38334 101 6997
40370 107 7368
42508 114 7759
44765 118 8169
47136 127 8604
49638 132 9059
52268 139 9540
55041 145 10046
57959 155 10578
61032 162 11139
64270 170 11731
67676 180 12352
71267 190 13007
75044 199 13697
79026 210 14423
83213 222 15188
87630 232 15993
92272 248 16841
97170 256 17735
102318 272 18675
107748 285 19665
113457 303 20708
119479 317 21806
125809 334 22963
132486 352 24180
139506 371 25462
146909 392 26812
154694 411 28235
162902 431 29731
171535 457 31309
180637 480 32967
190210 505 34718
200302 532 36557
210918 561 38497
222106 590 40537
233883 623 42687
246286 653 44951
259345 690 47334
273098 725 49845
287580 766 52487
302829 803 55271
318889 847 58202
335796 892 61288
353607 941 64538
372347 989 67961
392106 1042 71564
412888 1098 75359
434792 1155 79355
457840 1217 83563
482126 1281 87994
507685 1349 92661
534613 1421 97573
562956 1497 102749
592815 1575 108196
624244 1659 113934
657353 1747 119976
692205 1840 126338
728917 1937 133037
767564 2040 140092
808272 2148 147520
851127 2263 155344
896266 2382 163581
943788 2508 172256
993839 2641 181389
1046537 2782 191009
1102035 2929 201137
1160468 3084 211804
1222014 3248 1
1286806 3420 0
1355050 3601 0
1426899 3792 0
1502565 3994 0
1582248 4205 0
1666146 4428 0
1754504 4663 0
1847535 4910 0
1945513 256084 0
2048672 269665 0
2157317 256084 0
2048673 269664 0
2157317 256085 0
2048673 269664 0
2157317 256085 0
2048673 269664 0
2157317 256085 0
2048673 269664 0
2157317 256083 0
2048673 269663 0
2157317 0 0
2048673 0 0
2157316 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
